#***********************************************************************
## This file is part of OpenMolcas.                                     *
##                                                                      *
## OpenMolcas is free software; you can redistribute it and/or modify   *
## it under the terms of the GNU Lesser General Public License, v. 2.1. *
## OpenMolcas is distributed in the hope that it will be useful, but it *
## is provided "as is" and without any express or implied warranties.   *
## For more details see the full text of the license in the file        *
## LICENSE or in <http://www.gnu.org/licenses/>.                        *
##                                                                      *
## Copyright (C) 2020-2022, Bruno Tenorio                               *
##***********************************************************************
# Atomic integrals Notation from McGuire (Phys. Rev. 185, 1) 
# Correceted according to Phys. Rev. A, 2, 273.
# < ELM  1S | I  J  >
# I,J =  1   2    3    4    5    6    7    8
#     =  2s  2pz  2px  2py  3s   3pz  3px  3py
#
# I,  J,  L,  M,   G
# carbon
1	1	0	0	 0.008600000E+00 
1	2	1	0	-0.007230000E+00 
1	3	1	1	-0.007230000E+00 
1	4	1	-1	-0.007230000E+00
1	5	0	0	0.00000000000E+00
1	6	1	0	0.00000000000E+00
1	7	1	1	0.00000000000E+00
1	8	1	-1	0.00000000000E+00
2	1	1	0	-0.003866670E+00 
2	2	0	0	-0.003666670E+00 
2	2	2	0	 0.007990220E+00 
2	3	2	1	 0.006919730E+00 
2	4	2	-1	 0.006919730E+00 
2	5	1	0	0.00000000000E+00
2	6	0	0	0.00000000000E+00
2	6	2	0	0.00000000000E+00
2	7	2	1	0.00000000000E+00
2	8	2	-1	0.00000000000E+00
3	1	1	1	-0.003866670E+00
3	2	2	1	 0.006919730E+00
3	3	2	2	 0.009785980E+00
3	4	2	0	 0.003995110E+00
3	5	1	1	0.00000000000E+00
3	6	2	1	0.00000000000E+00
3	7	2	2	0.00000000000E+00
3	8	2	0	0.00000000000E+00
4	1	1	-1	-0.003866670E+00 
4	2	2	-1	 0.006919730E+00 
4	3	2	0	 0.003995110E+00
4	4	2	-2	 0.009785980E+00 
4	5	1	-1	0.00000000000E+00
4	6	2	-1	0.00000000000E+00
4	7	2	0	0.00000000000E+00
4	8	2	-2	0.00000000000E+00
5	1	0	0	0.00000000000E+00
5	2	1	0	0.00000000000E+00
5	3	1	1	0.00000000000E+00
5	4	1	-1	0.00000000000E+00
5	5	0	0	0.00000000000E+00
5	6	1	0	0.00000000000E+00
5	7	1	1	0.00000000000E+00
5	8	1	-1	0.00000000000E+00
6	1	1	0	0.00000000000E+00
6	2	0	0	0.00000000000E+00
6	2	2	0	0.00000000000E+00
6	3	2	1	0.00000000000E+00
6	4	2	-1	0.00000000000E+00
6	5	1	0	0.00000000000E+00
6	6	0	0	0.00000000000E+00
6	6	2	0	0.00000000000E+00
6	7	2	1	0.00000000000E+00
6	8	2	-1	0.00000000000E+00
7	1	1	1	0.00000000000E+00
7	2	2	1	0.00000000000E+00
7	3	2	2	0.00000000000E+00
7	4	2	0	0.00000000000E+00
7	5	1	1	0.00000000000E+00
7	6	2	1	0.00000000000E+00
7	7	2	2	0.00000000000E+00
7	8	2	0	0.00000000000E+00
8	1	1	-1	0.00000000000E+00
8	2	2	-1	0.00000000000E+00
8	3	2	0	0.00000000000E+00
8	4	2	-2	0.00000000000E+00
8	5	1	-1	0.00000000000E+00
8	6	2	-1	0.00000000000E+00
8	7	2	0	0.00000000000E+00
8	8	2	-2	0.00000000000E+00
# oxygen
1	1	0	0    0.0081500000E+00
1	2	1	0   -0.0069300000E+00
1	3	1	1   -0.0069300000E+00
1	4	1	-1	-0.0069300000E+00
1	5	0	0	0.0000000000E+00
1	6	1	0	0.0000000000E+00
1	7	1	1	0.0000000000E+00
1	8	1	-1	0.0000000000E+00
2	1	1	0  -0.0038000000E+00
2	2	0	0  -0.0035666700E+00
2	2	2	0   0.0080796600E+00
2	3	2	1   0.0069971900E+00
2	4	2	-1  0.0069971900E+00
2	5	1	0	0.0000000000E+00
2	6	0	0	0.0000000000E+00
2	6	2	0	0.0000000000E+00
2	7	2	1	0.0000000000E+00
2	8	2	-1	0.0000000000E+00
3	1	1	1  -0.0038000000E+00
3	2	2	1   0.0069971900E+00
3	3	2	2   0.0098955200E+00
3	4	2	0   0.0040398300E+00
3	5	1	1	0.0000000000E+00
3	6	2	1	0.0000000000E+00
3	7	2	2	0.0000000000E+00
3	8	2	0	0.0000000000E+00
4	1	1	-1  -0.0038000000E+00
4	2	2	-1   0.0069971900E+00
4	3	2	0   0.0040398300E+00
4	4	2	-2  0.0098955200E+00
4	5	1	-1	0.0000000000E+00
4	6	2	-1	0.0000000000E+00
4	7	2	0	0.0000000000E+00
4	8	2	-2	0.0000000000E+00
5	1	0	0	0.0000000000E+00
5	2	1	0	0.0000000000E+00
5	3	1	1	0.0000000000E+00
5	4	1	-1	0.0000000000E+00
5	5	0	0	0.0000000000E+00
5	6	1	0	0.0000000000E+00
5	7	1	1	0.0000000000E+00
5	8	1	-1	0.0000000000E+00
6	1	1	0	0.0000000000E+00
6	2	0	0	0.0000000000E+00
6	2	2	0	0.0000000000E+00
6	3	2	1	0.0000000000E+00
6	4	2	-1	0.0000000000E+00
6	5	1	0	0.0000000000E+00
6	6	0	0	0.0000000000E+00
6	6	2	0	0.0000000000E+00
6	7	2	1	0.0000000000E+00
6	8	2	-1	0.0000000000E+00
7	1	1	1	0.0000000000E+00
7	2	2	1	0.0000000000E+00
7	3	2	2	0.0000000000E+00
7	4	2	0	0.0000000000E+00
7	5	1	1	0.0000000000E+00
7	6	2	1	0.0000000000E+00
7	7	2	2	0.0000000000E+00
7	8	2	0	0.0000000000E+00
8	1	1	-1	0.0000000000E+00
8	2	2	-1	0.0000000000E+00
8	3	2	0	0.0000000000E+00
8	4	2	-2	0.0000000000E+00
8	5	1	-1	0.0000000000E+00
8	6	2	-1	0.0000000000E+00
8	7	2	0	0.0000000000E+00
8	8	2	-2	0.0000000000E+00
# nitrogen
1	1	0	0	 0.00811000E+00
1	2	1	0	-0.00679000E+00
1	3	1	1	-0.00679000E+00
1	4	1	-1	-0.00679000E+00
1	5	0	0	0.0000000000E+00
1	6	1	0	0.0000000000E+00
1	7	1	1	0.0000000000E+00
1	8	1	-1	0.0000000000E+00
2	1	1	0	-0.00383333E+00
2	2	0	0	-0.00350000E+00
2	2	2	0	 0.00802003E+00
2	3	2	1	 0.00694555E+00
2	4	2	-1	 0.00694555E+00
2	5	1	0	0.0000000000E+00
2	6	0	0	0.0000000000E+00
2	6	2	0	0.0000000000E+00
2	7	2	1	0.0000000000E+00
2	8	2	-1	0.0000000000E+00
3	1	1	1	-0.00383333E+00
3	2	2	1	 0.00694555E+00
3	3	2	2	 0.00982249E+00
3	4	2	0	 0.00401002E+00
3	5	1	1	0.0000000000E+00
3	6	2	1	0.0000000000E+00
3	7	2	2	0.0000000000E+00
3	8	2	0	0.0000000000E+00
4	1	1	-1	-0.00383333E+00
4	2	2	-1	 0.00694555E+00
4	3	2	0	 0.00401002E+00
4	4	2	-2	 0.00982249E+00
4	5	1	-1	0.00000000E+00
4	6	2	-1	0.00000000E+00
4	7	2	0	0.00000000E+00
4	8	2	-2	0.00000000E+00
5	1	0	0	0.00000000E+00
5	2	1	0	0.00000000E+00
5	3	1	1	0.00000000E+00
5	4	1	-1	0.00000000E+00
5	5	0	0	0.00000000E+00
5	6	1	0	0.00000000E+00
5	7	1	1	0.00000000E+00
5	8	1	-1	0.00000000E+00
6	1	1	0	0.00000000E+00
6	2	0	0	0.00000000E+00
6	2	2	0	0.00000000E+00
6	3	2	1	0.00000000E+00
6	4	2	-1	0.00000000E+00
6	5	1	0	0.00000000E+00
6	6	0	0	0.00000000E+00
6	6	2	0	0.00000000E+00
6	7	2	1	0.00000000E+00
6	8	2	-1	0.00000000E+00
7	1	1	1	0.00000000E+00
7	2	2	1	0.00000000E+00
7	3	2	2	0.00000000E+00
7	4	2	0	0.00000000E+00
7	5	1	1	0.00000000E+00
7	6	2	1	0.00000000E+00
7	7	2	2	0.00000000E+00
7	8	2	0	0.00000000E+00
8	1	1	-1	0.00000000E+00
8	2	2	-1	0.00000000E+00
8	3	2	0	0.00000000E+00
8	4	2	-2	0.00000000E+00
8	5	1	-1	0.00000000E+00
8	6	2	-1	0.00000000E+00
8	7	2	0	0.00000000E+00
8	8	2	-2	0.00000000E+00
# fluor
1	1	0	0	0.00809
1	2	1	0	-0.00683
1	3	1	1	-0.00683
1	4	1	-1	-0.00683
1	5	0	0	0.000000
1	6	1	0	0.000000
1	7	1	1	0.000000
1	8	1	-1	0.000000
2	1	1	0	-0.00373333
2	2	0	0	-0.00346667
2	2	2	0	0.0079604
2	3	2	1	0.00689391
2	4	2	-1	0.00689391
2	5	1	0	0.000000
2	6	0	0	0.000000
2	6	2	0	0.000000
2	7	2	1	0.000000
2	8	2	-1	0.000000
3	1	1	1	-0.00373333
3	2	2	1	0.00689391
3	3	2	2	0.00974946
3	4	2	0	0.0039802
3	5	1	1	0.000000
3	6	2	1	0.000000
3	7	2	2	0.000000
3	8	2	0	0.000000
4	1	1	-1	-0.00373333
4	2	2	-1	0.00689391
4	3	2	0	0.0039802
4	4	2	-2	0.00974946
4	5	1	-1	0.000000
4	6	2	-1	0.000000
4	7	2	0	0.000000
4	8	2	-2	0.000000
5	1	0	0	0.000000
5	2	1	0	0.000000
5	3	1	1	0.000000
5	4	1	-1	0.000000
5	5	0	0	0.000000
5	6	1	0	0.000000
5	7	1	1	0.000000
5	8	1	-1	0.000000
6	1	1	0	0.000000
6	2	0	0	0.000000
6	2	2	0	0.000000
6	3	2	1	0.000000
6	4	2	-1	0.000000
6	5	1	0	0.000000
6	6	0	0	0.000000
6	6	2	0	0.000000
6	7	2	1	0.000000
6	8	2	-1	0.000000
7	1	1	1	0.000000
7	2	2	1	0.000000
7	3	2	2	0.000000
7	4	2	0	0.000000
7	5	1	1	0.000000
7	6	2	1	0.000000
7	7	2	2	0.000000
7	8	2	0	0.000000
8	1	1	-1	0.000000
8	2	2	-1	0.000000
8	3	2	0	0.000000
8	4	2	-2	0.000000
8	5	1	-1	0.000000
8	6	2	-1	0.000000
8	7	2	0	0.000000
8	8	2	-2	0.000000
# neon
1	1	0	0	 0.00808000E+00
1	2	1	0	-0.00675000E+00
1	3	1	1	-0.00675000E+00
1	4	1	-1	-0.00675000E+00
1	5	0	0	0.000000000E+00
1	6	1	0	0.000000000E+00
1	7	1	1	0.000000000E+00
1	8	1	-1	0.000000000E+00
2	1	1	0	-0.00363333E+00
2	2	0	0	-0.00336667E+00
2	2	2	0	 0.00775170E+00
2	3	2	1	 0.00671317E+00
2	4	2	-1	 0.00671317E+00
2	5	1	0	0.000000000E+00
2	6	0	0	0.000000000E+00
2	6	2	0	0.000000000E+00
2	7	2	1	0.000000000E+00
2	8	2	-1	0.000000000E+00
3	1	1	1	-0.00363333E+00
3	2	2	1	 0.00671317E+00
3	3	2	2	 0.00949386E+00
3	4	2	0	 0.00387585E+00
3	5	1	1	0.000000000E+00
3	6	2	1	0.000000000E+00
3	7	2	2	0.000000000E+00
3	8	2	0	0.000000000E+00
4	1	1	-1	-0.00363333E+00
4	2	2	-1	 0.00671317E+00
4	3	2	0	 0.00387585E+00
4	4	2	-2	 0.00949386E+00
4	5	1	-1	0.000000000E+00
4	6	2	-1	0.000000000E+00
4	7	2	0	0.000000000E+00
4	8	2	-2	0.000000000E+00
5	1	0	0	0.000000000E+00
5	2	1	0	0.000000000E+00
5	3	1	1	0.000000000E+00
5	4	1	-1	0.000000000E+00
5	5	0	0	0.000000000E+00
5	6	1	0	0.000000000E+00
5	7	1	1	0.000000000E+00
5	8	1	-1	0.000000000E+00
6	1	1	0	0.000000000E+00
6	2	0	0	0.000000000E+00
6	2	2	0	0.000000000E+00
6	3	2	1	0.000000000E+00
6	4	2	-1	0.000000000E+00
6	5	1	0	0.000000000E+00
6	6	0	0	0.000000000E+00
6	6	2	0	0.000000000E+00
6	7	2	1	0.000000000E+00
6	8	2	-1	0.000000000E+00
7	1	1	1	0.000000000E+00
7	2	2	1	0.000000000E+00
7	3	2	2	0.000000000E+00
7	4	2	0	0.000000000E+00
7	5	1	1	0.000000000E+00
7	6	2	1	0.000000000E+00
7	7	2	2	0.000000000E+00
7	8	2	0	0.000000000E+00
8	1	1	-1	0.000000000E+00
8	2	2	-1	0.000000000E+00
8	3	2	0	0.000000000E+00
8	4	2	-2	0.000000000E+00
8	5	1	-1	0.000000000E+00
8	6	2	-1	0.000000000E+00
8	7	2	0	0.000000000E+00
8	8	2	-2	0.000000000E+00
# Sulfur
1	1	0	0	0.00692
1	2	1	0	-0.00863
1	3	1	1	-0.00863
1	4	1	-1	-0.00863
1	5	0	0	0.00302
1	6	1	0	-0.00261
1	7	1	1	-0.00261
1	8	1	-1	-0.00261
2	1	1	0	-0.00453333
2	2	0	0	-0.00406667
2	2	2	0	0.0094213
2	3	2	1	0.00815908
2	4	2	-1	0.00815908
2	5	1	0	0.00148667
2	6	0	0	-0.00128
2	6	2	0	0.00281446
2	7	2	1	0.0024374
2	8	2	-1	0.0024374
3	1	1	1	-0.00453333
3	2	2	1	0.00815908
3	3	2	2	0.0115387
3	4	2	0	0.00471065
3	5	1	1	0.00148667
3	6	2	1	0.0024374
3	7	2	2	0.003447
3	8	2	0	0.00140723
4	1	1	-1	-0.00453333
4	2	2	-1	0.00815908
4	3	2	0	0.00471065
4	4	2	-2	0.0115387
4	5	1	-1	0.00148667
4	6	2	-1	0.0024374
4	7	2	0	0.00140723
4	8	2	-2	0.003447
5	1	0	0	0.00215
5	2	1	0	-0.00268
5	3	1	1	-0.00268
5	4	1	-1	-0.00268
5	5	0	0	0.000387
5	6	1	0	-0.000123
5	7	1	1	-0.000123
5	8	1	-1	-0.000123
6	1	1	0	-0.00136667
6	2	0	0	-0.00117
6	2	2	0	0.00265645
6	3	2	1	0.00230055
6	4	2	-1	0.00230055
6	5	1	0	-0.000202
6	6	0	0	-0.000292333
6	6	2	0	0.000965981
6	7	2	1	0.000836564
6	8	2	-1	0.000836564
7	1	1	1	-0.00136667
7	2	2	1	0.00230055
7	3	2	2	0.00325347
7	4	2	0	0.00132822
7	5	1	1	-0.000202
7	6	2	1	0.000836564
7	7	2	2	0.00118308
7	8	2	0	0.000482991
8	1	1	-1	-0.00136667
8	2	2	-1	0.00230055
8	3	2	0	0.00132822
8	4	2	-2	0.00325347
8	5	1	-1	-0.000202
8	6	2	-1	0.000836564
8	7	2	0	0.000482991
8	8	2	-2	0.00118308
# Cl
1	1	0	0	0.00793
1	2	1	0	-0.00907
1	3	1	1	-0.00907
1	4	1	-1	-0.00907
1	5	0	0	0.00307
1	6	1	0	-0.00275
1	7	1	1	-0.00275
1	8	1	-1	-0.00275
2	1	1	0	-0.0049
2	2	0	0	-0.00456667
2	2	2	0	0.0104052
2	3	2	1	0.00901114
2	4	2	-1	0.00901114
2	5	1	0	-0.00166
2	6	0	0	-0.00140333
2	6	2	0	0.00307087
2	7	2	1	0.00265945
2	8	2	-1	0.00265945
3	1	1	1	-0.0049
3	2	2	1	0.00901114
3	3	2	2	0.0127437
3	4	2	0	0.00520258
3	5	1	1	-0.00166
3	6	2	1	0.00265945
3	7	2	2	0.00376103
3	8	2	0	0.00153543
4	1	1	-1	-0.0049
4	2	2	-1	0.00901114
4	3	2	0	0.00520258
4	4	2	-2	0.0127437
4	5	1	-1	-0.00166
4	6	2	-1	0.00265945
4	7	2	0	0.00153543
4	8	2	-2	0.00376103
5	1	0	0	0.00239
5	2	1	0	-0.00273
5	3	1	1	-0.00273
5	4	1	-1	-0.00273
5	5	0	0	0.000387
5	6	1	0	-0.000123
5	7	1	1	-0.000123
5	8	1	-1	-0.000123
6	1	1	0	-0.00150333
6	2	0	0	-0.00132333
6	2	2	0	0.00298142
6	3	2	1	0.00258199
6	4	2	-1	0.00258199
6	5	1	0	-0.000202
6	6	0	0	-0.000292333
6	6	2	0	0.000965981
6	7	2	1	0.000836564
6	8	2	-1	0.000836564
7	1	1	1	-0.00150333
7	2	2	1	0.00258199
7	3	2	2	0.00365148
7	4	2	0	0.00149071
7	5	1	1	-0.000202
7	6	2	1	0.000836564
7	7	2	2	0.00118308
7	8	2	0	0.000482991
8	1	1	-1	-0.00150333
8	2	2	-1	0.00258199
8	3	2	0	0.00149071
8	4	2	-2	0.00365148
8	5	1	-1	-0.000202
8	6	2	-1	0.000836564
8	7	2	0	0.000482991
8	8	2	-2	0.00118308
# Mg
1	1	0	0	0.00899
1	2	1	0	-0.00768
1	3	1	1	-0.00768
1	4	1	-1	-0.00768
1	5	0	0	0.00208
1	6	1	0	0.000000
1	7	1	1	0.000000
1	8	1	-1	0.000000
2	1	1	0	-0.004
2	2	0	0	-0.00373333
2	2	2	0	0.00846724
2	3	2	1	0.00733285
2	4	2	-1	0.00733285
2	5	1	0	-0.00111333
2	6	0	0	0.000000
2	6	2	0	0.000000
2	7	2	1	0.000000
2	8	2	-1	0.000000
3	1	1	1	-0.004
3	2	2	1	0.00733285
3	3	2	2	0.0103702
3	4	2	0	0.00423362
3	5	1	1	-0.00111333
3	6	2	1	0.000000
3	7	2	2	0.000000
3	8	2	0	0.000000
4	1	1	-1	-0.004
4	2	2	-1	0.00733285
4	3	2	0	0.00423362
4	4	2	-2	0.0103702
4	5	1	-1	-0.00111333
4	6	2	-1	0.000000
4	7	2	0	0.000000
4	8	2	-2	0.000000
5	1	0	0	0.00239
5	2	1	0	-0.00199
5	3	1	1	-0.00199
5	4	1	-1	-0.00199
5	5	0	0	0.000000
5	6	1	0	0.000000
5	7	1	1	0.000000
5	8	1	-1	0.000000
6	1	1	0	0.000000
6	2	0	0	0.000000
6	2	2	0	0.00298142
6	3	2	1	0.00258199
6	4	2	-1	0.00258199
6	5	1	0	0.000000
6	6	0	0	0.000000
6	6	2	0	0.000000
6	7	2	1	0.000000
6	8	2	-1	0.000000
7	1	1	1	0.000000
7	2	2	1	0.00258199
7	3	2	2	0.00365148
7	4	2	0	0.00149071
7	5	1	1	0.000000
7	6	2	1	0.000000
7	7	2	2	0.000000
7	8	2	0	0.000000
8	1	1	-1	0.000000
8	2	2	-1	0.00258199
8	3	2	0	0.00149071
8	4	2	-2	0.00365148
8	5	1	-1	0.000000
8	6	2	-1	0.000000
8	7	2	0	0.000000
8	8	2	-2	0.000000
# P
1	1	0	0	0.00708
1	2	1	0	-0.00884
1	3	1	1	-0.00884
1	4	1	-1	-0.00884
1	5	0	0	0.00284
1	6	1	0	-0.00241
1	7	1	1	-0.00241
1	8	1	-1	-0.00241
2	1	1	0	-0.0046
2	2	0	0	-0.00423333
2	2	2	0	0.0110909
2	3	2	1	0.009605
2	4	2	-1	0.009605
2	5	1	0	-0.00149333
2	6	0	0	-0.00128
2	6	2	0	0.00274291
2	7	2	1	0.00237543
2	8	2	-1	0.00237543
3	1	1	1	-0.0046
3	2	2	1	0.009605
3	3	2	2	0.0135835
3	4	2	0	0.00554545
3	5	1	1	-0.00149333
3	6	2	1	0.00237543
3	7	2	2	0.00335937
3	8	2	0	0.00137146
4	1	1	-1	-0.0046
4	2	2	-1	0.009605
4	3	2	0	0.00554545
4	4	2	-2	0.0135835
4	5	1	-1	-0.00149333
4	6	2	-1	0.00237543
4	7	2	0	0.00137146
4	8	2	-2	0.00335937
5	1	0	0	0.00216
5	2	1	0	-0.00256
5	3	1	1	-0.00256
5	4	1	-1	-0.00256
5	5	0	0	0.000387
5	6	1	0	-0.000123
5	7	1	1	-0.000123
5	8	1	-1	-0.000123
6	1	1	0	-0.00130667
